CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,28,41,43
2,Female,23,24,36
3,Female,34,28,42
4,Female,39,35,45
5,Female,29,37,26
6,Male,40,34,33
7,Female,42,33,31
8,Male,32,39,38
9,Female,37,52,31
10,Male,31,28,40
11,Female,34,28,27
12,Male,38,40,39
13,Female,36,35,36
14,Female,40,36,41
15,Female,36,40,21
16,Male,33,31,29
17,Male,43,28,43
18,Male,24,32,36
19,Female,39,41,31
20,Female,32,41,33
21,Female,28,27,39
22,Female,35,40,31
23,Female,38,32,39
24,Female,31,32,31
25,Female,37,31,35
26,Female,37,38,40
27,Male,32,34,19
28,Male,26,24,26
29,Male,29,31,46
30,Female,32,40,26
31,Female,29,32,42
32,Male,24,38,37
33,Female,26,35,30
34,Male,36,35,49
35,Male,28,36,36
36,Female,43,41,38
37,Female,27,29,26
38,Male,32,23,40
39,Male,26,26,37
40,Male,40,50,61
41,Male,29,17,37
42,Female,30,31,29
43,Male,41,36,33
44,Male,28,21,30
45,Male,36,49,36
46,Male,33,26,64
47,Male,23,47,67
48,Male,33,22,83
49,Female,27,29,69
50,Male,30,26,63
51,Female,29,42,76
52,Female,27,32,86
53,Male,25,38,78
54,Female,37,31,63
55,Female,37,43,73
56,Male,25,41,65
57,Male,31,26,74
58,Male,27,32,87
59,Male,31,15,74
60,Male,22,20,67
61,Female,33,19,75
62,Female,25,27,84
63,Female,36,28,68
64,Female,26,31,76
65,Female,28,31,97
66,Male,39,23,72
67,Male,24,32,85
68,Male,23,24,55
69,Male,21,25,67
70,Female,27,15,61
71,Female,20,21,91
72,Male,45,20,71
73,Male,38,22,72
74,Male,32,33,71
75,Female,19,28,72
76,Male,29,25,79
77,Female,28,32,75
78,Female,28,24,77
79,Male,44,46,89
80,Male,30,23,64
81,Male,29,33,59
82,Female,33,33,65
83,Male,29,30,72
84,Female,27,27,76
85,Female,18,28,76
86,Female,43,72,4
87,Male,52,62,27
88,Male,40,74,10
89,Male,49,79,35
90,Male,49,78,35
91,Male,46,72,20
92,Female,37,82,9
93,Female,40,84,26
94,Female,52,80,5
95,Female,34,70,33
96,Male,45,69,10
97,Male,34,69,22
98,Male,48,79,1
99,Female,42,78,34
100,Female,29,70,25
101,Female,50,77,27
102,Male,38,81,29
103,Female,43,77,12
104,Female,41,73,23
105,Male,35,73,33
106,Female,37,68,21
107,Female,42,85,27
108,Male,47,79,40
109,Female,29,87,15
110,Female,42,85,5
111,Male,32,68,23
112,Male,45,77,7
113,Male,42,71,24
114,Female,46,76,26
115,Female,45,69,18
116,Female,43,81,16
117,Male,40,74,27
118,Female,30,64,6
119,Male,37,80,17
120,Female,43,83,31
121,Male,37,85,20
122,Male,36,70,6
123,Male,39,81,35
124,Male,23,81,68
125,Male,31,63,86
126,Male,28,73,68
127,Female,34,76,80
128,Male,34,88,74
129,Male,38,75,88
130,Female,34,76,81
131,Female,44,78,79
132,Male,38,71,80
133,Male,33,71,63
134,Female,19,69,73
135,Male,43,86,69
136,Male,34,74,75
137,Female,35,75,87
138,Female,25,78,100
139,Female,40,78,83
140,Female,31,76,70
141,Male,26,83,87
142,Male,34,75,82
143,Male,37,63,74
144,Male,20,66,90
145,Female,27,65,51
146,Male,28,97,81
147,Male,34,65,75
148,Male,32,77,85
149,Female,36,72,86
150,Female,41,70,70
151,Female,30,89,74
152,Female,40,79,80
153,Male,29,70,73
154,Male,34,65,83
155,Male,38,58,70
156,Male,21,71,80
157,Female,30,76,79
158,Female,25,83,83
159,Female,35,80,96
160,Female,31,75,71
161,Male,24,70,77
162,Female,34,78,71
163,Male,36,76,72
164,Male,35,79,64
165,Female,33,70,79
166,Male,49,65,56
167,Female,60,35,34
168,Female,56,46,51
169,Female,50,48,47
170,Female,67,45,47
171,Female,48,44,41
172,Female,54,61,47
173,Male,61,50,56
174,Female,54,49,49
175,Male,60,41,49
176,Female,51,56,32
177,Female,53,44,51
178,Female,59,50,58
179,Male,58,57,39
180,Female,60,50,41
181,Female,51,35,59
182,Female,70,51,27
183,Male,56,53,34
184,Male,61,59,31
185,Male,70,56,41
186,Female,57,59,29
187,Male,55,69,43
188,Male,68,46,50
189,Female,52,56,55
190,Male,56,41,44
191,Female,55,54,29
192,Female,48,58,40
193,Female,62,57,38
194,Female,50,61,48
195,Male,60,58,48
196,Female,56,61,50
197,Female,54,51,40
198,Female,62,66,40
199,Male,59,53,53
200,Female,44,48,37
