CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
1,Male,28,41,43,2
2,Female,23,24,36,2
3,Female,34,28,42,2
4,Female,39,35,45,2
5,Female,29,37,26,2
6,Male,40,34,33,2
7,Female,42,33,31,2
8,Male,32,39,38,2
9,Female,37,52,31,2
10,Male,31,28,40,2
11,Female,34,28,27,2
12,Male,38,40,39,2
13,Female,36,35,36,2
14,Female,40,36,41,2
15,Female,36,40,21,2
16,Male,33,31,29,2
17,Male,43,28,43,2
18,Male,24,32,36,2
19,Female,39,41,31,2
20,Female,32,41,33,2
21,Female,28,27,39,2
22,Female,35,40,31,2
23,Female,38,32,39,2
24,Female,31,32,31,2
25,Female,37,31,35,2
26,Female,37,38,40,2
27,Male,32,34,19,2
28,Male,26,24,26,2
29,Male,29,31,46,2
30,Female,32,40,26,2
31,Female,29,32,42,2
32,Male,24,38,37,2
33,Female,26,35,30,2
34,Male,36,35,49,2
35,Male,28,36,36,2
36,Female,43,41,38,2
37,Female,27,29,26,2
38,Male,32,23,40,2
39,Male,26,26,37,2
40,Male,40,50,61,2
41,Male,29,17,37,2
42,Female,30,31,29,2
43,Male,41,36,33,2
44,Male,28,21,30,2
45,Male,36,49,36,2
46,Male,33,26,64,0
47,Male,23,47,67,0
48,Male,33,22,83,0
49,Female,27,29,69,0
50,Male,30,26,63,0
51,Female,29,42,76,0
52,Female,27,32,86,0
53,Male,25,38,78,0
54,Female,37,31,63,0
55,Female,37,43,73,0
56,Male,25,41,65,0
57,Male,31,26,74,0
58,Male,27,32,87,0
59,Male,31,15,74,0
60,Male,22,20,67,0
61,Female,33,19,75,0
62,Female,25,27,84,0
63,Female,36,28,68,0
64,Female,26,31,76,0
65,Female,28,31,97,0
66,Male,39,23,72,0
67,Male,24,32,85,0
68,Male,23,24,55,0
69,Male,21,25,67,0
70,Female,27,15,61,0
71,Female,20,21,91,0
72,Male,45,20,71,0
73,Male,38,22,72,0
74,Male,32,33,71,0
75,Female,19,28,72,0
76,Male,29,25,79,0
77,Female,28,32,75,0
78,Female,28,24,77,0
79,Male,44,46,89,0
80,Male,30,23,64,0
81,Male,29,33,59,0
82,Female,33,33,65,0
83,Male,29,30,72,0
84,Female,27,27,76,0
85,Female,18,28,76,0
86,Female,43,72,4,4
87,Male,52,62,27,1
88,Male,40,74,10,4
89,Male,49,79,35,4
90,Male,49,78,35,4
91,Male,46,72,20,4
92,Female,37,82,9,4
93,Female,40,84,26,4
94,Female,52,80,5,4
95,Female,34,70,33,4
96,Male,45,69,10,4
97,Male,34,69,22,4
98,Male,48,79,1,4
99,Female,42,78,34,4
100,Female,29,70,25,4
101,Female,50,77,27,4
102,Male,38,81,29,4
103,Female,43,77,12,4
104,Female,41,73,23,4
105,Male,35,73,33,4
106,Female,37,68,21,4
107,Female,42,85,27,4
108,Male,47,79,40,4
109,Female,29,87,15,4
110,Female,42,85,5,4
111,Male,32,68,23,4
112,Male,45,77,7,4
113,Male,42,71,24,4
114,Female,46,76,26,4
115,Female,45,69,18,4
116,Female,43,81,16,4
117,Male,40,74,27,4
118,Female,30,64,6,4
119,Male,37,80,17,4
120,Female,43,83,31,4
121,Male,37,85,20,4
122,Male,36,70,6,4
123,Male,39,81,35,4
124,Male,23,81,68,3
125,Male,31,63,86,3
126,Male,28,73,68,3
127,Female,34,76,80,3
128,Male,34,88,74,3
129,Male,38,75,88,3
130,Female,34,76,81,3
131,Female,44,78,79,3
132,Male,38,71,80,3
133,Male,33,71,63,3
134,Female,19,69,73,3
135,Male,43,86,69,3
136,Male,34,74,75,3
137,Female,35,75,87,3
138,Female,25,78,100,3
139,Female,40,78,83,3
140,Female,31,76,70,3
141,Male,26,83,87,3
142,Male,34,75,82,3
143,Male,37,63,74,3
144,Male,20,66,90,3
145,Female,27,65,51,3
146,Male,28,97,81,3
147,Male,34,65,75,3
148,Male,32,77,85,3
149,Female,36,72,86,3
150,Female,41,70,70,3
151,Female,30,89,74,3
152,Female,40,79,80,3
153,Male,29,70,73,3
154,Male,34,65,83,3
155,Male,38,58,70,3
156,Male,21,71,80,3
157,Female,30,76,79,3
158,Female,25,83,83,3
159,Female,35,80,96,3
160,Female,31,75,71,3
161,Male,24,70,77,3
162,Female,34,78,71,3
163,Male,36,76,72,3
164,Male,35,79,64,3
165,Female,33,70,79,3
166,Male,49,65,56,1
167,Female,60,35,34,1
168,Female,56,46,51,1
169,Female,50,48,47,1
170,Female,67,45,47,1
171,Female,48,44,41,1
172,Female,54,61,47,1
173,Male,61,50,56,1
174,Female,54,49,49,1
175,Male,60,41,49,1
176,Female,51,56,32,1
177,Female,53,44,51,1
178,Female,59,50,58,1
179,Male,58,57,39,1
180,Female,60,50,41,1
181,Female,51,35,59,1
182,Female,70,51,27,1
183,Male,56,53,34,1
184,Male,61,59,31,1
185,Male,70,56,41,1
186,Female,57,59,29,1
187,Male,55,69,43,1
188,Male,68,46,50,1
189,Female,52,56,55,1
190,Male,56,41,44,1
191,Female,55,54,29,1
192,Female,48,58,40,1
193,Female,62,57,38,1
194,Female,50,61,48,1
195,Male,60,58,48,1
196,Female,56,61,50,1
197,Female,54,51,40,1
198,Female,62,66,40,1
199,Male,59,53,53,1
200,Female,44,48,37,2
